EaseOfUse	Gender	Age	DatePosted	Satisfaction	Reason	Supplement	NReviews	Effectiveness
2	Male	45-54	12/15/2018	1	Depression	5-HTP	378	2
4	Male	45-54	10/22/2018	4	Depression	5-HTP	378	4
4	Female	35-44	6/26/2018	5	Anxiety	5-HTP	378	5
1	Female	35-44	5/31/2018	1	Fibromyalgia	5-HTP	378	1
5	Female	45-54	5/22/2018	1	Other	5-HTP	378	1
5	Female	35-44	9/21/2017	5	Anxiety	5-HTP	378	5
5	Male	35-44	6/29/2017	5	Anxiety	5-HTP	378	5
1	Female	45-54	5/24/2017	1	Weight loss	5-HTP	378	1
5	Female	55-64	5/11/2017	5	Anxiety	5-HTP	378	5
5	Female	65-74	3/9/2017	5	Anxiety	5-HTP	378	4
5	Male	25-34	3/9/2017	5	Alcoholism	5-HTP	378	5
4	Female	65-74	3/4/2017	4	Ataxia	5-HTP	378	4
5	Female	19-24	12/31/2016	5	Depression	5-HTP	378	5
4	Female	45-54	12/14/2016	4	Depression	5-HTP	378	3
5	Male	19-24	11/20/2016	5	General Health & Wellness	5-HTP	378	5
3	Female	35-44	10/23/2016	3	Anxiety	5-HTP	378	3
5	Female	45-54	8/31/2016	4	Depression	5-HTP	378	5
5	Male	25-34	7/27/2016	5	Depression	5-HTP	378	5
5	Female	55-64	6/24/2016	5	Anxiety	5-HTP	378	5
5	Female	25-34	6/11/2016	2	Withdrawal symptoms	5-HTP	378	1
3	Male	35-44	5/26/2016	3	Depression	5-HTP	378	3
5	Female	45-54	4/14/2016	5	Anxiety	5-HTP	378	5
5	Female	65-74	4/8/2016	1	Fibromyalgia	5-HTP	378	1
5	Female	25-34	4/6/2016	5	Depression	5-HTP	378	5
5	Female	25-34	3/2/2016	5	Depression	5-HTP	378	4
1	Male	55-64	2/19/2016	1	Anxiety	5-HTP	378	1
1	Male	19-24	1/24/2016	1	Anxiety	5-HTP	378	1
5	Male	19-24	1/19/2016	5	Depression	5-HTP	378	5
5	Female	25-34	1/18/2016	5	Depression	5-HTP	378	5
4	Female	55-64	12/11/2015	3	Weight loss	5-HTP	378	4
5	Male	55-64	11/27/2015	5	Anxiety	5-HTP	378	5
5	Female	55-64	11/7/2015	5	Fibromyalgia	5-HTP	378	5
5	Female	25-34	10/28/2015	5	Anxiety	5-HTP	378	5
1	Female	55-64	10/5/2015	1	Fibromyalgia	5-HTP	378	1
5	Female	25-34	9/13/2015	5	Anxiety	5-HTP	378	5
5	Female	35-44	9/13/2015	5	Insomnia	5-HTP	378	5
5	Female	55-64	9/10/2015	4	Insomnia	5-HTP	378	4
3	Female	35-44	9/8/2015	1	Weight loss	5-HTP	378	4
5	Male	19-24	8/29/2015	5	Depression	5-HTP	378	5
5	Male	35-44	8/26/2015	5	Anxiety	5-HTP	378	5
5	Male	55-64	8/15/2015	1	Overweight	5-HTP	378	1
5	Female	45-54	8/13/2015	5	Depression	5-HTP	378	4
4	Female	55-64	8/11/2015	4	Migraine headache 	5-HTP	378	4
5	Female	55-64	7/21/2015	3	Anxiety	5-HTP	378	3
5	Female	35-44	7/17/2015	2	Other	5-HTP	378	3
4	Female	65-74	7/7/2015	5	Depression	5-HTP	378	4
5	Female	45-54	7/5/2015	5	Insomnia	5-HTP	378	5
5	Female	35-44	6/30/2015	5	Depression	5-HTP	378	5
5	Male	19-24	6/17/2015	3	Depression	5-HTP	378	4
5	Female	65-74	5/15/2015	4	Anxiety	5-HTP	378	4
4	Male	35-44	5/11/2015	5	Insomnia	5-HTP	378	4
5	Female	19-24	5/8/2015	1	Depression	5-HTP	378	1
5	Female	65-74	5/6/2015	5	Anxiety	5-HTP	378	5
5	Female	45-54	4/19/2015	5	Fibromyalgia	5-HTP	378	5
5	Female	25-34	4/15/2015	1	Depression	5-HTP	378	1
5	Male	55-64	4/10/2015	1	Depression	5-HTP	378	3
4	Female	19-24	4/4/2015	4	Depression	5-HTP	378	4
4	Female	45-54	4/3/2015	1	Other	5-HTP	378	1
5	Female	25-34	4/3/2015	1	Depression	5-HTP	378	1
5	Female	25-34	3/26/2015	5	Depression	5-HTP	378	5
5	Female	45-54	3/17/2015	5	Depression	5-HTP	378	5
5	Female	35-44	3/17/2015	5	Other	5-HTP	378	5
5	Male	35-44	3/16/2015	4	Anxiety	5-HTP	378	4
5	Female	45-54	3/11/2015	5	Migraine headache 	5-HTP	378	5
3	Female	65-74	3/10/2015	1	Dementia	5-HTP	378	1
5	Female	25-34	3/10/2015	3	Weight loss	5-HTP	378	5
5	Female	19-24	3/10/2015	4	Depression	5-HTP	378	4
3	Female	35-44	3/9/2015	2	Anxiety	5-HTP	378	3
5	Female	55-64	2/26/2015	5	Anxiety	5-HTP	378	4
4	Female	35-44	2/20/2015	1	Anxiety	5-HTP	378	2
5	Female	35-44	2/20/2015	5	Anxiety	5-HTP	378	5
4	Female	35-44	2/13/2015	4	Anxiety	5-HTP	378	4
5	Female	25-34	2/9/2015	5	Depression	5-HTP	378	5
5	Female	45-54	2/4/2015	5	Anxiety	5-HTP	378	5
